time,SST,SST_mon_anom,SST_yea_anom,T2,T2_mon_anom,T2_yea_anom,PREC,PREC_mon_anom,PREC_yea_anom,PS,PS_mon_anom,PS_yea_anom
1960-01,16.783692654290984,-0.11134895460600273,-0.24275856710973756,11.70592732319859,-0.28999747583747776,-2.073319952049518,94.8269168422531,0.38839040387339985,2.370949301390322,1011.3354088423964,-0.0036916808798180445,0.3094667671332136
1960-02,16.94499671826883,-0.02484951669528091,-0.0814545031318772,12.063265030575888,-0.11310007567342299,-1.7159822446722581,89.8172854862258,3.904304166325579,-2.6386820546369374,1011.4555359266357,0.05353451625860042,0.429593851374111
1960-03,17.075252118840567,-0.0032504189260904267,0.04880089743988156,12.653461907478773,-0.08833087518743889,-1.125785367769356,93.79501120991802,-0.5074996721800478,1.3390436690552137,1011.3863411217205,0.048900845939924685,0.36039904645791493
1960-04,17.221201383192152,-0.026034253865191797,0.1947501617914394,13.646185405487817,-0.07577729221083603,-0.1330618697602907,92.87324187138995,1.223651156595703,0.4172743305270981,1011.1492321355428,-0.006927434644872474,0.12329006028126097
1960-05,17.248981556380542,-0.07791728642846725,0.22253033497984334,14.585306801494996,-0.14319119831374344,0.8060595262468742,96.6330633594949,1.300370564519206,4.17709581863205,1010.9462155443819,0.034559832299259005,-0.07972653088063884
1960-06,17.06256227405898,-0.14383265428027045,0.03611105265829987,15.086093905972778,-0.32647393395723573,1.3068466307246542,94.27593956491991,0.6943599416079315,1.8199720240571189,1010.8016401856669,0.08677203158514664,-0.2243018895946146
1960-07,16.909166136780737,-0.14139657062255345,-0.11728508461995389,15.452875419128402,-0.2585713984365929,1.673628143880261,98.84899598009684,1.8519763014281296,6.393028439234058,1010.6847903082435,0.08377727506448725,-0.3411517670194181
1960-08,16.860231363129728,-0.12453429325008028,-0.16621985827094413,15.300824232578954,-0.22437501125915096,1.5215769573308304,95.30149952641777,0.6918324611099651,2.8455319855549743,1010.688228422168,0.05205848958918912,-0.3377136530952481
1960-09,16.818814969515937,-0.11921330302746247,-0.20763625188474175,14.625262820811567,-0.13963474578675386,0.8460155455634286,90.8030385755708,1.815961451601864,-1.652928965291954,1010.7247254707122,-0.06377983637466339,-0.30121660455061466
1960-10,16.719054856453266,-0.17251399360585282,-0.3073963649474359,13.528414233034898,-0.12695517474418833,-0.2508330422132148,92.86622148847742,2.2470987938168734,0.4102539476147236,1010.9822995452024,-0.033314767639328405,-0.04364253005905115
1960-11,16.70060957568452,-0.16172360178209416,-0.3258416457161637,12.547982405023584,-0.19324949803558297,-1.2312648702245368,89.60657441792183,0.35103179388559974,-2.849393122940959,1011.1579200554831,-0.00012310351009387784,0.13197798022068707
1960-12,16.678617070097893,-0.18761913302402192,-0.3478341513028291,11.87301978031502,-0.3026913584330249,-1.9062274949330786,94.65207536092619,0.8667758306750076,2.19610782006349,1011.2831806276183,0.03244711493563631,0.2572385523558541
1961-01,16.664486569746973,-0.23055503914998485,-0.36196465165371955,11.696448793213365,-0.2994760058227134,-2.0827984820347543,95.76087347683719,1.3223470384574625,3.304905935974392,1011.2881107283753,-0.05098979489952178,0.2621686531135093
1961-02,16.867532042525344,-0.10231419243876935,-0.15891917887536622,11.918559533025439,-0.2578055732238525,-1.8606877422226866,83.6562666827741,-2.2567146371262257,-8.799700858088753,1011.4233366232661,0.021335212888904935,0.39739454800441476
1961-03,16.970665627509533,-0.10783691025714141,-0.05578559389116963,12.489496976227802,-0.25229580643838756,-1.2897502990203047,94.97167983491453,0.6691689528164024,2.515712294051659,1011.3742008746134,0.03676059883263867,0.34825879935062903
1961-04,17.068078682450256,-0.1791569546070945,0.041627461049535824,13.431466554200517,-0.2904961434981193,-0.3477807210475737,91.76221878138035,0.11262806658621467,-0.6937487594823999,1011.2211422499323,0.06498267974391449,0.1952001746700483
1961-05,17.19942513456228,-0.12747370824673623,0.17297391316157473,14.614071197505567,-0.11442680230314517,0.8348239222574729,96.68359299963328,1.3509002046577874,4.227625458770619,1010.9420773627518,0.0304216506686278,-0.08386471251126792
1961-06,17.033345926207694,-0.17304900213156357,0.006894704807007399,15.16152130190529,-0.25104653802472954,1.3822740266571563,94.35391807536473,0.7723384520528492,1.8979505345020262,1010.7681519755773,0.05328382149395531,-0.25779009968580635
1961-07,16.86756522281164,-0.18299748459163462,-0.15888599858903552,15.46376638857478,-0.2476804289901969,1.6845191133266593,97.01682626722094,0.019806588552217952,4.560858726358124,1010.6200797582334,0.01906672505464191,-0.40586231702926123
1961-08,16.874233736766968,-0.11053191961284559,-0.15221748463371068,15.44027208928512,-0.08492715455298971,1.6610248140369899,96.51523836275632,1.9055712974487025,4.059270821893736,1010.5924547346324,-0.04371519794446004,-0.43348734062889616
1961-09,16.80547464843193,-0.13255362411146404,-0.2209765729687444,14.677252139239927,-0.08764542735843,0.8980048639917527,89.39441955005493,0.4073424260859951,-3.0615479908078216,1010.7933819481462,0.00487664106066108,-0.23256012711528987
1961-10,16.692635744236867,-0.19893310582224652,-0.33381547716382887,13.38320598533904,-0.27216342244002567,-0.3960412899090502,92.99956838205236,2.380445687391657,0.543600841189512,1011.040937228585,0.025322915742310655,0.014995153322588979
1961-11,16.726278400452333,-0.1360547770143042,-0.3001728209483738,12.579214887700743,-0.16201701535843727,-1.200032387547393,89.51286853207783,0.25732590804165695,-2.9430990087848965,1011.2367462977768,0.07870313878267031,0.21080422251345204
