time,lat,lon,SST,T2,PS,PREC
1960-01,15.75,-60.0,24.563684082031273,22.784051513671898,1016.5946044921875,57.73006081581116
1960-02,15.75,-60.0,23.691186523437523,22.297662353515648,1017.16845703125,40.946359634399414
1960-03,15.75,-60.0,23.696557617187523,22.015161132812523,1015.5269775390625,27.165575623512268
1960-04,15.75,-60.0,24.496667480468773,23.617761230468773,1014.9151000976562,21.852675676345825
1960-05,15.75,-60.0,24.893914794921898,24.117120361328148,1015.4904174804688,26.074182987213135
1960-06,15.75,-60.0,25.433190917968773,24.835290527343773,1016.650634765625,32.10668206214905
1960-07,15.75,-60.0,26.242456054687523,25.390161132812523,1016.7877197265625,15.899330377578735
1960-08,15.75,-60.0,26.739526367187523,26.164178466796898,1014.932373046875,67.51306056976318
1960-09,15.75,-60.0,26.828027343750023,26.156640625000023,1014.885986328125,114.80648517608643
1960-10,15.75,-60.0,26.432153320312523,25.358636474609398,1015.0364990234375,89.70115900039673
1960-11,15.75,-60.0,25.986505126953148,24.560083007812523,1015.1991577148438,66.66755676269531
1960-12,15.75,-60.0,24.979974365234398,23.839288330078148,1016.3819580078125,66.94533348083496
1961-01,15.75,-60.0,24.232781982421898,22.665948486328148,1015.8158569335938,32.15705394744873
1961-02,15.75,-60.0,23.800836181640648,22.738610839843773,1015.5748901367188,55.9606397151947
1961-03,15.75,-60.0,23.988702392578148,22.732171630859398,1015.176025390625,35.55002689361572
1961-04,15.75,-60.0,24.859552001953148,24.008172607421898,1015.040771484375,32.65808701515198
1961-05,15.75,-60.0,25.619409179687523,24.715600585937523,1015.1331176757812,28.315941095352173
1961-06,15.75,-60.0,25.710107421875023,25.035974121093773,1016.5359497070312,78.01149129867554
1961-07,15.75,-60.0,25.950677490234398,25.085504150390648,1016.38427734375,29.872625470161438
1961-08,15.75,-60.0,26.372857666015648,25.725518798828148,1015.5584716796875,41.61206245422363
1961-09,15.75,-60.0,26.406365966796898,26.083123779296898,1014.8890380859375,105.29674530029297
1961-10,15.75,-60.0,26.176782226562523,25.253991699218773,1014.4805908203125,54.43471312522888
1961-11,15.75,-60.0,25.917321777343773,24.629693603515648,1015.5078125,90.90487003326416
1961-12,15.75,-60.0,25.027856445312523,23.535546875000023,1015.8171997070312,59.128464460372925
1962-01,15.75,-60.0,24.059838867187523,22.398187255859398,1016.6643676757812,34.062420129776
1962-02,15.75,-60.0,23.325921630859398,22.553552246093773,1017.5172729492188,49.807924032211304
1962-03,15.75,-60.0,23.642144775390648,22.428002929687523,1016.4705810546875,42.79845356941223
1962-04,15.75,-60.0,24.290521240234398,22.960717773437523,1016.455322265625,39.86095905303955
1962-05,15.75,-60.0,24.983331298828148,23.871820068359398,1016.7989501953125,33.792901039123535
1962-06,15.75,-60.0,25.718530273437523,24.688256835937523,1016.8822021484375,30.83523988723755
1962-07,15.75,-60.0,25.788629150390648,24.598901367187523,1016.4286499023438,35.63838601112366
1962-08,15.75,-60.0,25.871545410156273,25.122918701171898,1015.6903076171875,17.05194890499115
1962-09,15.75,-60.0,25.981530761718773,25.485803222656273,1015.0541381835938,46.401286125183105
1962-10,15.75,-60.0,26.082818603515648,25.225366210937523,1014.2286376953125,87.84698009490967
1962-11,15.75,-60.0,25.953973388671898,24.584802246093773,1015.5914306640625,71.00556135177612
1962-12,15.75,-60.0,24.977990722656273,23.910028076171898,1015.821533203125,37.12498068809509
1963-01,15.75,-60.0,24.367486572265648,22.879479980468773,1016.7225952148438,32.580517530441284
1963-02,15.75,-60.0,24.382501220703148,23.028863525390648,1015.6824340820312,34.92588400840759
1963-03,15.75,-60.0,23.941949462890648,22.470208740234398,1016.2567138671875,17.52701997756958
1963-04,15.75,-60.0,24.383020019531273,23.481042480468773,1015.6024780273438,41.17009878158569
1963-05,15.75,-60.0,25.230920410156273,24.450341796875023,1015.7430419921875,38.532453775405884
1963-06,15.75,-60.0,25.905297851562523,25.009759521484398,1016.8717651367188,22.50974714756012
1963-07,15.75,-60.0,26.331353759765648,25.478906250000023,1016.8284912109375,37.27252721786499
1963-08,15.75,-60.0,26.449304199218773,25.731164550781273,1015.9995727539062,47.79202938079834
1963-09,15.75,-60.0,26.365838623046898,25.949578857421898,1015.2578125,111.84059143066406
1963-10,15.75,-60.0,26.369409179687523,25.397546386718773,1015.93359375,40.20790457725525
1963-11,15.75,-60.0,26.231103515625023,25.096246337890648,1015.8182373046875,65.25112867355347
1963-12,15.75,-60.0,25.287988281250023,23.908868408203148,1016.5629272460938,46.945656538009644
1964-01,15.75,-60.0,24.242608642578148,22.415063476562523,1016.49951171875,59.46062207221985
1964-02,15.75,-60.0,23.604425048828148,21.943170166015648,1014.4010009765625,31.68768882751465
1964-03,15.75,-60.0,24.086877441406273,23.228753662109398,1015.9434204101562,35.670669078826904
1964-04,15.75,-60.0,24.575158691406273,23.493249511718773,1015.5814819335938,21.264519095420837
1964-05,15.75,-60.0,25.282861328125023,24.400506591796898,1016.5323486328125,20.3456711769104
1964-06,15.75,-60.0,25.925988769531273,25.213494873046898,1016.4843139648438,34.56877827644348
1964-07,15.75,-60.0,26.187249755859398,25.374658203125023,1016.547119140625,57.611796855926514
1964-08,15.75,-60.0,26.417932128906273,25.692010498046898,1015.80224609375,27.140799164772034
1964-09,15.75,-60.0,26.604943847656273,25.669885253906273,1014.8734130859375,109.41799879074097
1964-10,15.75,-60.0,26.221276855468773,25.179895019531273,1014.9595336914062,101.18874549865723
1964-11,15.75,-60.0,25.820397949218773,24.364129638671898,1015.0888061523438,84.0528130531311
